X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,clusterID
3951903,4012369,4122,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,6
3951886,4012373,3942,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,6
3951924,4012338,4248,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,6
3951989,4012433,5198,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,6
3951941,4012440,4680,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,6
3951936,4012424,4820,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,6
3951984,4012529,5382,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,6
3951613,4012559,4140,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
3951873,4012526,4977,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,6
3951899,4012533,4520,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,6
3951873,4012509,5126,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,6
3951543,4012512,3672,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
3951726,4012560,4240,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6
3951724,4012546,4100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6
3951916,4012430,4420,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,6
3951882,4012450,4256,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,6
3952663,4014307,9968,0,0,0,1,1,0,2,2,0,0,0,19,5,4,10,1,0,0,2,0,8
3952790,4014334,4080,0,0,0,1,3,2,2,3,0,0,0,23,5,3,10,1,1,0,2,0,8
3952733,4014307,9765,0,0,0,1,2,0,2,1,0,0,0,22,5,3,8,1,0,0,2,0,8
3952742,4014300,9964,0,0,0,1,2,0,2,2,0,0,0,23,5,3,7,1,0,0,2,0,8
