X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3954799,4014532,2028,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,133464,4
3954815,4014555,1980,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,122364,4
3954853,4014544,1458,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100593,4
3954882,4014556,1647,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100611,4
3954865,4014542,1143,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100620,4
3954866,4014519,1080,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100629,4
3954879,4014517,1134,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100638,4
3954892,4014512,1323,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,100647,4
3954823,4014608,2106,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,149656,4
3954800,4014595,1692,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,138168,4
3954762,4014699,1950,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,154011,4
3954757,4014689,1644,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,142176,4
3954798,4014671,1692,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,143040,4
3954802,4014688,2040,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,143052,4
3954816,4014682,1608,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,143064,4
3954539,4014403,3150,0,0,0,0,0,0,1,0,0,1,0,6,0,1,1,0,0,1,1,0,186480,8
3954936,4014766,2416,0,0,0,0,2,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,196416,7
3954924,4014784,2466,0,0,0,0,2,0,0,0,0,0,0,3,1,5,1,0,0,0,0,0,221040,7
3954839,4014749,2595,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,184275,3
3954856,4014744,2380,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,172004,3
3954940,4014782,4500,0,0,0,0,2,0,0,0,0,0,0,3,1,5,1,0,0,0,0,0,221346,7
3954955,4014824,3840,0,0,0,0,2,0,0,0,0,0,0,5,1,5,1,0,0,0,0,0,304272,7
3954977,4014811,3060,0,0,0,0,2,0,0,0,0,0,0,3,1,5,1,0,0,0,0,0,253680,7
3951581,4013589,588,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,26356,4
3951565,4013625,452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,27860,4
3951601,4013614,580,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,27864,4
3951559,4013614,468,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,27872,4
3951611,4013527,432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,24852,6
3951601,4013527,444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,24856,6
3951496,4013575,588,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,26280,4
3951457,4013544,695,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,32855,6
3951610,4013540,464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,26328,6
3951541,4013556,592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,26336,6
3951546,4013589,336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,19755,4
3951562,4013585,402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,19758,4
3951589,4013582,348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,19764,4
3951451,4013538,590,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,33080,6
3951485,4013641,408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20880,4
3951448,4013612,408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,27920,4
3951447,4013633,552,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,27924,4
3951434,4013639,400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,27928,4
3951405,4013610,444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,27944,4
3954830,4013280,1141,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,33495,3
3954262,4012797,710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14280,3
